Username,Last name,First name,Email address,Status,Started,Completed,Duration,Grade/100.00,Question 1,Response 1,Right answer 1,Question 2,Response 2,Right answer 2,Question 3,Response 3,Right answer 3,Question 4,Response 4,Right answer 4
id_69752164,Anderson,Jessica,j.anderson@student.example.com,Finished,28 June 2025  10:41 AM,28 June 2025  10:45 AM,3 mins 46 secs,100.0,Text H,False,False,Text F,False,False,Text D,True,True,Text A,True,True
id_29232207,Hernandez,Larry,l.hernandez@student.example.com,Finished,28 June 2025  12:33 PM,28 June 2025  12:34 PM,31 secs,100.0,Text B,False,False,Text E,False,False,Text F,False,False,Text H,False,False
id_22679892,Parsons,James,j.parsons@student.example.com,Finished,28 June 2025  12:43 PM,28 June 2025  12:45 PM,1 min 31 secs,100.0,Text G,True,True,Text C,True,True,Text D,True,True,Text E,False,False
id_91720477,Johnson,Stacey,s.johnson@student.example.com,Finished,28 June 2025  3:04 PM,28 June 2025  3:07 PM,2 mins 31 secs,100.0,Text C,True,True,Text G,True,True,Text H,False,False,Text B,False,False
id_19951742,Khan,Jessica,j.khan@student.example.com,Finished,28 June 2025  3:15 PM,2 July 2025  5:00 PM,4 days 1 hour,100.0,Text D,True,True,Text A,True,True,Text B,False,False,Text C,True,True
id_95111967,Barber,Keith,k.barber@student.example.com,Finished,28 June 2025  3:19 PM,28 June 2025  3:20 PM,1 min 18 secs,100.0,Text C,True,True,Text E,False,False,Text B,False,False,Text D,True,True
id_40869660,Brown,Micheal,m.brown@student.example.com,Finished,28 June 2025  4:07 PM,28 June 2025  4:16 PM,9 mins 12 secs,100.0,Text G,True,True,Text D,True,True,Text H,False,False,Text A,True,True
id_19619727,Cardenas,Elizabeth,e.cardenas@student.example.com,Finished,28 June 2025  4:09 PM,28 June 2025  4:13 PM,3 mins 57 secs,100.0,Text G,True,True,Text F,False,False,Text A,True,True,Text D,True,True
id_88120923,Wright,Laura,l.wright@student.example.com,Finished,28 June 2025  4:13 PM,28 June 2025  4:57 PM,44 mins 32 secs,100.0,Text A,True,True,Text C,True,True,Text H,False,False,Text E,False,False
id_33071753,Thomas,David,d.thomas@student.example.com,Finished,28 June 2025  4:23 PM,28 June 2025  4:26 PM,2 mins 43 secs,100.0,Text G,True,True,Text D,True,True,Text B,False,False,Text E,False,False
id_31654484,Simpson,Jessica,j.simpson@student.example.com,Finished,28 June 2025  5:12 PM,28 June 2025  5:16 PM,3 mins 52 secs,100.0,Text E,False,False,Text G,True,True,Text D,True,True,Text F,False,False
id_64767295,Bridges,Danielle,d.bridges@student.example.com,Finished,28 June 2025  8:07 PM,2 July 2025  5:00 PM,3 days 20 hours,100.0,Text D,True,True,Text C,True,True,Text F,False,False,Text H,False,False
id_92849443,Castillo,Laura,l.castillo@student.example.com,Finished,28 June 2025  8:53 PM,1 July 2025  4:15 PM,2 days 19 hours,100.0,Text G,True,True,Text E,False,False,Text D,True,True,Text A,True,True
id_56966959,Sanders,John,j.sanders@student.example.com,Finished,28 June 2025  9:53 PM,28 June 2025  9:56 PM,3 mins 15 secs,100.0,Text E,False,False,Text C,True,True,Text A,True,True,Text B,False,False
id_50984896,Reyes,Kimberly,k.reyes@student.example.com,Finished,28 June 2025  10:36 PM,28 June 2025  10:40 PM,3 mins 54 secs,100.0,Text E,False,False,Text A,True,True,Text C,True,True,Text F,False,False
id_62210219,Walters,Kathleen,k.walters@student.example.com,Finished,29 June 2025  8:20 AM,2 July 2025  11:55 AM,3 days 3 hours,100.0,Text A,True,True,Text F,False,False,Text E,False,False,Text H,False,False
id_17922675,Foster,Daniel,d.foster@student.example.com,Finished,29 June 2025  8:20 AM,29 June 2025  8:25 AM,4 mins 55 secs,100.0,Text G,True,True,Text F,False,False,Text E,False,False,Text D,True,True
id_60032499,Blackburn,Walter,w.blackburn@student.example.com,Finished,29 June 2025  10:56 AM,2 July 2025  5:00 PM,3 days 6 hours,100.0,Text F,False,False,Text C,True,True,Text D,True,True,Text E,False,False
id_41048310,Roth,Charles,c.roth@student.example.com,Finished,29 June 2025  12:21 PM,29 June 2025  12:24 PM,3 mins 47 secs,100.0,Text G,True,True,Text H,False,False,Text D,True,True,Text B,False,False
id_67127448,Thompson,Anne,a.thompson@student.example.com,Finished,29 June 2025  12:30 PM,29 June 2025  12:34 PM,4 mins 26 secs,100.0,Text E,False,False,Text B,False,False,Text F,False,False,Text D,True,True
id_15267530,Bishop,Trevor,t.bishop@student.example.com,Finished,29 June 2025  1:41 PM,1 July 2025  5:30 PM,2 days 3 hours,100.0,Text C,True,True,Text H,False,False,Text A,True,True,Text G,True,True
id_38828630,Martin,Robert,r.martin@student.example.com,Finished,29 June 2025  1:45 PM,29 June 2025  8:30 PM,6 hours 45 mins,100.0,Text F,False,False,Text B,False,False,Text D,True,True,Text H,False,False
id_51928739,Richardson,Richard,r.richardson@student.example.com,Finished,29 June 2025  2:55 PM,29 June 2025  2:57 PM,1 min 25 secs,100.0,Text D,True,True,Text G,True,True,Text F,False,False,Text B,False,False
id_29558029,Hartman,Melissa,m.hartman@student.example.com,Finished,29 June 2025  7:14 PM,30 June 2025  10:04 PM,1 day 2 hours,100.0,Text C,True,True,Text F,False,False,Text E,False,False,Text B,False,False
id_89312830,James,Eric,e.james@student.example.com,Finished,29 June 2025  7:17 PM,29 June 2025  7:19 PM,2 mins 2 secs,100.0,Text A,True,True,Text D,True,True,Text C,True,True,Text H,False,False
id_91076585,Adams,Robin,r.adams@student.example.com,Finished,29 June 2025  7:40 PM,29 June 2025  7:40 PM,31 secs,100.0,Text D,True,True,Text E,False,False,Text C,True,True,Text A,True,True
id_71787801,Hicks,Andre,a.hicks@student.example.com,Finished,29 June 2025  8:42 PM,29 June 2025  8:46 PM,3 mins 33 secs,100.0,Text A,True,True,Text D,True,True,Text E,False,False,Text B,False,False
id_36764358,Schultz,Angela,a.schultz@student.example.com,Finished,29 June 2025  10:16 PM,29 June 2025  10:21 PM,4 mins 50 secs,100.0,Text H,False,False,Text E,False,False,Text G,True,True,Text F,False,False
id_57009638,Ramos,Shaun,s.ramos@student.example.com,Finished,29 June 2025  10:19 PM,29 June 2025  10:44 PM,25 mins,100.0,Text H,False,False,Text E,False,False,Text G,True,True,Text C,True,True
id_25785041,Mcknight,Jonathan,j.mcknight@student.example.com,Finished,30 June 2025  8:39 AM,30 June 2025  8:40 AM,1 min 2 secs,100.0,Text D,True,True,Text H,False,False,Text F,False,False,Text C,True,True
id_61758217,Davenport,Caitlin,c.davenport@student.example.com,Finished,30 June 2025  10:51 AM,30 June 2025  10:57 AM,5 mins 58 secs,100.0,Text H,False,False,Text D,True,True,Text F,False,False,Text E,False,False
id_99473565,Williams,Monica,m.williams@student.example.com,Finished,30 June 2025  11:12 AM,30 June 2025  11:13 AM,44 secs,100.0,Text A,True,True,Text D,True,True,Text B,False,False,Text F,False,False
id_41514307,Fields,Nancy,n.fields@student.example.com,Finished,30 June 2025  11:25 AM,30 June 2025  11:33 AM,8 mins 27 secs,100.0,Text E,False,False,Text H,False,False,Text G,True,True,Text D,True,True
id_56018539,Johnson,David,d.johnson@student.example.com,Finished,30 June 2025  12:02 PM,30 June 2025  12:04 PM,1 min 23 secs,100.0,Text D,True,True,Text A,True,True,Text B,False,False,Text C,True,True
id_86740567,Flores,Kellie,k.flores@student.example.com,Finished,30 June 2025  12:38 PM,30 June 2025  12:48 PM,9 mins 54 secs,100.0,Text H,False,False,Text E,False,False,Text C,True,True,Text F,False,False
id_85432856,Whitehead,Alexander,a.whitehead@student.example.com,Finished,30 June 2025  1:36 PM,30 June 2025  1:39 PM,2 mins 13 secs,100.0,Text G,True,True,Text B,False,False,Text D,True,True,Text H,False,False
id_54729471,Glenn,Erin,e.glenn@student.example.com,Finished,30 June 2025  3:22 PM,30 June 2025  3:30 PM,8 mins 15 secs,100.0,Text D,True,True,Text B,False,False,Text G,True,True,Text F,False,False
id_31003222,Rodriguez,Ashley,a.rodriguez@student.example.com,Finished,30 June 2025  3:42 PM,30 June 2025  3:46 PM,3 mins 34 secs,100.0,Text D,True,True,Text H,False,False,Text G,True,True,Text A,True,True
id_51713999,Rivera,Tyler,t.rivera@student.example.com,Finished,30 June 2025  6:38 PM,30 June 2025  6:49 PM,11 mins 12 secs,100.0,Text F,False,False,Text D,True,True,Text E,False,False,Text A,True,True
id_19895015,Lin,Dawn,d.lin@student.example.com,Finished,30 June 2025  8:07 PM,2 July 2025  5:00 PM,1 day 20 hours,100.0,Text G,True,True,Text E,False,False,Text C,True,True,Text A,True,True
id_53408110,Gallegos,Jacqueline,j.gallegos@student.example.com,Finished,1 July 2025  12:56 AM,2 July 2025  5:00 PM,1 day 16 hours,100.0,Text E,False,False,Text G,True,True,Text H,False,False,Text B,False,False
id_47915105,Moore,Michelle,m.moore@student.example.com,Finished,1 July 2025  1:39 AM,1 July 2025  1:42 AM,3 mins 14 secs,100.0,Text B,False,False,Text C,True,True,Text D,True,True,Text E,False,False
id_13686262,Knapp,Sharon,s.knapp@student.example.com,Finished,1 July 2025  3:34 AM,1 July 2025  3:36 AM,1 min 51 secs,100.0,Text H,False,False,Text G,True,True,Text E,False,False,Text A,True,True
id_88215426,Parker,Brian,b.parker@student.example.com,Finished,1 July 2025  9:00 AM,1 July 2025  9:04 AM,4 mins 30 secs,100.0,Text F,False,False,Text A,True,True,Text C,True,True,Text D,True,True
id_38803723,Harris,Todd,t.harris@student.example.com,Finished,1 July 2025  10:22 AM,1 July 2025  10:24 AM,2 mins 38 secs,100.0,Text G,True,True,Text E,False,False,Text A,True,True,Text C,True,True
id_33973990,Whitney,Patricia,p.whitney@student.example.com,Finished,1 July 2025  10:57 AM,1 July 2025  3:21 PM,4 hours 24 mins,100.0,Text E,False,False,Text D,True,True,Text C,True,True,Text G,True,True
id_70550596,Williams,Christopher,c.williams@student.example.com,Finished,1 July 2025  11:22 AM,1 July 2025  11:25 AM,2 mins 21 secs,100.0,Text D,True,True,Text H,False,False,Text B,False,False,Text E,False,False
id_83845735,Smith,Tracy,t.smith@student.example.com,Finished,1 July 2025  11:43 AM,1 July 2025  11:45 AM,2 mins 28 secs,100.0,Text G,True,True,Text A,True,True,Text H,False,False,Text B,False,False
id_37150956,Dyer,William,w.dyer@student.example.com,Finished,1 July 2025  11:50 AM,1 July 2025  11:53 AM,2 mins 44 secs,100.0,Text H,False,False,Text G,True,True,Text C,True,True,Text B,False,False
id_91392178,Nicholson,Elizabeth,e.nicholson@student.example.com,Finished,1 July 2025  12:10 PM,1 July 2025  5:49 PM,5 hours 38 mins,100.0,Text G,True,True,Text C,True,True,Text F,False,False,Text A,True,True
id_27881126,Coleman,Olivia,o.coleman@student.example.com,Finished,1 July 2025  12:18 PM,1 July 2025  12:25 PM,6 mins 15 secs,100.0,Text B,False,False,Text C,True,True,Text E,False,False,Text A,True,True
id_36189854,Johnson,Kevin,k.johnson@student.example.com,Finished,1 July 2025  12:40 PM,1 July 2025  12:42 PM,2 mins 9 secs,100.0,Text H,False,False,Text G,True,True,Text A,True,True,Text D,True,True
id_20447173,Jennings,Sandra,s.jennings@student.example.com,Finished,1 July 2025  1:25 PM,1 July 2025  1:25 PM,37 secs,100.0,Text C,True,True,Text G,True,True,Text B,False,False,Text F,False,False
id_65441675,Williams,John,j.williams@student.example.com,Finished,1 July 2025  2:48 PM,1 July 2025  2:49 PM,40 secs,100.0,Text H,False,False,Text A,True,True,Text E,False,False,Text D,True,True
id_22624592,Smith,Jon,j.smith@student.example.com,Finished,1 July 2025  3:12 PM,1 July 2025  3:16 PM,4 mins 14 secs,100.0,Text C,True,True,Text D,True,True,Text A,True,True,Text E,False,False
id_50475029,Salinas,Thomas,t.salinas@student.example.com,Finished,1 July 2025  3:47 PM,1 July 2025  3:50 PM,2 mins 33 secs,100.0,Text D,True,True,Text A,True,True,Text F,False,False,Text B,False,False
id_67121924,Gardner,Jeremy,j.gardner@student.example.com,Finished,1 July 2025  4:01 PM,1 July 2025  4:13 PM,11 mins 39 secs,100.0,Text H,False,False,Text E,False,False,Text G,True,True,Text F,False,False
id_45998777,Barnett,Melvin,m.barnett@student.example.com,Finished,1 July 2025  4:06 PM,1 July 2025  4:08 PM,1 min 25 secs,100.0,Text F,False,False,Text G,True,True,Text B,False,False,Text E,False,False
id_96521747,Allen,Megan,m.allen@student.example.com,Finished,1 July 2025  4:07 PM,1 July 2025  4:11 PM,3 mins 35 secs,100.0,Text B,False,False,Text H,False,False,Text A,True,True,Text F,False,False
id_21504638,Stephens,Robert,r.stephens@student.example.com,Finished,1 July 2025  7:17 PM,1 July 2025  7:21 PM,4 mins 25 secs,100.0,Text B,False,False,Text G,True,True,Text E,False,False,Text C,True,True
id_93135410,Lee,Destiny,d.lee@student.example.com,Finished,1 July 2025  7:56 PM,1 July 2025  8:03 PM,7 mins 32 secs,100.0,Text F,False,False,Text E,False,False,Text B,False,False,Text G,True,True
id_73505798,Baker,Leslie,l.baker@student.example.com,Finished,1 July 2025  8:16 PM,2 July 2025  4:07 PM,19 hours 51 mins,100.0,Text D,True,True,Text E,False,False,Text B,False,False,Text C,True,True
id_57237585,Mccullough,Mark,m.mccullough@student.example.com,Finished,1 July 2025  8:38 PM,1 July 2025  8:45 PM,7 mins 4 secs,100.0,Text F,False,False,Text C,True,True,Text G,True,True,Text E,False,False
id_75052902,Garza,Maria,m.garza@student.example.com,Finished,1 July 2025  8:43 PM,1 July 2025  8:47 PM,3 mins 44 secs,100.0,Text C,True,True,Text F,False,False,Text E,False,False,Text D,True,True
id_79975161,Anderson,John,j.anderson@student.example.com,Finished,1 July 2025  8:51 PM,1 July 2025  8:56 PM,5 mins 24 secs,100.0,Text F,False,False,Text D,True,True,Text C,True,True,Text A,True,True
id_29638290,Lee,Heather,h.lee@student.example.com,Finished,1 July 2025  9:35 PM,1 July 2025  9:42 PM,7 mins 52 secs,100.0,Text E,False,False,Text B,False,False,Text G,True,True,Text D,True,True
id_96284148,Turner,Doris,d.turner@student.example.com,Finished,1 July 2025  11:00 PM,1 July 2025  11:02 PM,2 mins 19 secs,100.0,Text B,False,False,Text C,True,True,Text G,True,True,Text A,True,True
id_17096534,Castro,Ronald,r.castro@student.example.com,Finished,1 July 2025  11:33 PM,1 July 2025  11:36 PM,3 mins 11 secs,100.0,Text C,True,True,Text G,True,True,Text F,False,False,Text E,False,False
id_12774032,Nicholson,Michael,m.nicholson@student.example.com,Finished,2 July 2025  12:14 AM,2 July 2025  12:20 AM,6 mins 41 secs,100.0,Text D,True,True,Text A,True,True,Text E,False,False,Text C,True,True
id_50758387,Mcclain,Logan,l.mcclain@student.example.com,Finished,2 July 2025  3:44 AM,2 July 2025  4:34 PM,12 hours 49 mins,100.0,Text B,False,False,Text G,True,True,Text A,True,True,Text D,True,True
id_86172822,Torres,Michael,m.torres@student.example.com,Finished,2 July 2025  4:35 AM,2 July 2025  4:39 AM,3 mins 59 secs,100.0,Text B,False,False,Text F,False,False,Text A,True,True,Text C,True,True
id_22916746,Nielsen,Marcus,m.nielsen@student.example.com,Finished,2 July 2025  11:21 AM,2 July 2025  11:23 AM,1 min 19 secs,100.0,Text C,True,True,Text G,True,True,Text A,True,True,Text E,False,False
id_68343740,Park,Thomas,t.park@student.example.com,Finished,2 July 2025  11:22 AM,2 July 2025  11:29 AM,6 mins 56 secs,100.0,Text B,False,False,Text H,False,False,Text C,True,True,Text F,False,False
id_86406712,Miller,Heather,h.miller@student.example.com,Finished,2 July 2025  11:38 AM,2 July 2025  11:41 AM,3 mins 4 secs,100.0,Text G,True,True,Text D,True,True,Text E,False,False,Text C,True,True
id_43110593,Oliver,Denise,d.oliver@student.example.com,Finished,2 July 2025  12:39 PM,2 July 2025  1:17 PM,37 mins 51 secs,100.0,Text B,False,False,Text D,True,True,Text G,True,True,Text F,False,False
id_70725250,Willis,Zachary,z.willis@student.example.com,Finished,2 July 2025  1:09 PM,2 July 2025  3:11 PM,2 hours 2 mins,100.0,Text B,False,False,Text F,False,False,Text A,True,True,Text D,True,True
id_19967695,Jones,Crystal,c.jones@student.example.com,Finished,2 July 2025  1:16 PM,2 July 2025  1:25 PM,8 mins 34 secs,100.0,Text F,False,False,Text E,False,False,Text G,True,True,Text D,True,True
id_83240469,Blanchard,Jane,j.blanchard@student.example.com,Finished,2 July 2025  1:41 PM,2 July 2025  1:43 PM,2 mins 20 secs,100.0,Text D,True,True,Text G,True,True,Text H,False,False,Text E,False,False
id_54302573,Shepherd,Allison,a.shepherd@student.example.com,Finished,2 July 2025  2:05 PM,2 July 2025  2:07 PM,1 min 46 secs,100.0,Text H,False,False,Text D,True,True,Text G,True,True,Text B,False,False
id_63247079,Anderson,Luis,l.anderson@student.example.com,Finished,2 July 2025  3:03 PM,2 July 2025  3:04 PM,29 secs,100.0,Text D,True,True,Text G,True,True,Text C,True,True,Text B,False,False
id_44054384,Garcia,Joyce,j.garcia@student.example.com,Finished,2 July 2025  3:06 PM,2 July 2025  4:20 PM,1 hour 14 mins,100.0,Text B,False,False,Text A,True,True,Text F,False,False,Text G,True,True
id_99282681,Brewer,Blake,b.brewer@student.example.com,Finished,2 July 2025  3:16 PM,2 July 2025  3:19 PM,2 mins 55 secs,100.0,Text G,True,True,Text F,False,False,Text A,True,True,Text B,False,False
id_30846586,Scott,Jeffrey,j.scott@student.example.com,Finished,2 July 2025  3:17 PM,2 July 2025  3:21 PM,3 mins 59 secs,100.0,Text D,True,True,Text F,False,False,Text E,False,False,Text A,True,True
id_31912614,Kent,Gary,g.kent@student.example.com,Finished,2 July 2025  3:33 PM,2 July 2025  3:36 PM,3 mins 17 secs,100.0,Text E,False,False,Text F,False,False,Text C,True,True,Text D,True,True
id_40739258,Galloway,Mallory,m.galloway@student.example.com,Finished,2 July 2025  3:55 PM,2 July 2025  3:57 PM,2 mins 27 secs,100.0,Text B,False,False,Text A,True,True,Text C,True,True,Text G,True,True
id_33456721,Price,Diana,d.price@student.example.com,Finished,2 July 2025  4:03 PM,2 July 2025  4:06 PM,3 mins 6 secs,100.0,Text E,False,False,Text H,False,False,Text D,True,True,Text G,True,True
id_41269352,Cooper,Peter,p.cooper@student.example.com,Finished,2 July 2025  4:10 PM,2 July 2025  4:13 PM,3 mins 10 secs,100.0,Text C,True,True,Text F,False,False,Text G,True,True,Text E,False,False
id_55113143,Williams,James,j.williams@student.example.com,Finished,2 July 2025  4:12 PM,2 July 2025  4:20 PM,7 mins 41 secs,100.0,Text G,True,True,Text H,False,False,Text C,True,True,Text D,True,True
id_11291038,Stewart,William,w.stewart@student.example.com,Finished,2 July 2025  4:19 PM,2 July 2025  4:22 PM,2 mins 43 secs,100.0,Text F,False,False,Text G,True,True,Text B,False,False,Text H,False,False
id_87345354,George,Christine,c.george@student.example.com,Finished,2 July 2025  4:21 PM,2 July 2025  4:23 PM,2 mins 26 secs,100.0,Text A,True,True,Text D,True,True,Text C,True,True,Text B,False,False
