Username,Last name,First name,Email address,Status,Started,Completed,Duration,Grade/100.00,Question 1,Response 1,Right answer 1
id_89451401,Flynn,James,j.flynn@student.example.com,Finished,5 July 2025  12:14 PM,5 July 2025  12:19 PM,4 mins 55 secs,33.33,"Variable 1: \({5,384}\)     Variable 2: \({1,170}\)    Questions: \({11}\) and \({5}\)   ",Seed: 380659; ans1: 6 [score]; ans2: 1 [score]; ans3: 1 [score]; ans4: 270 [score]; ans5: 3 [score]; ans6: 7 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 0 | prt2-1-F; prt3: # = 0 | prt3-1-F | prt3-2-F; prt4: # = 1 | prt4-1-T; prt5: # = 0 | prt5-1-F; prt6: # = 0 | prt6-1-F | prt6-2-F,Seed: 380659; ans1: 5 [score]; ans2: 4 [score]; ans3: 3 [score]; ans4: 269 [score]; ans5: 1 [score]; ans6: 26 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_99473565,Williams,Monica,m.williams@student.example.com,Finished,5 July 2025  1:36 PM,7 July 2025  3:51 PM,2 days 2 hours,66.67,"Variable 1: \({16,367}\)     Variable 2: \({2,338}\)    Questions: \({11}\) and \({3}\)   ",Seed: 222025; ans1: 17 [score]; ans2: 4 [score]; ans3: 1 [score]; ans4: 66 [score]; ans5: 1 [score]; ans6: 7 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 0 | prt3-1-F | prt3-2-F; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 0 | prt6-1-F | prt6-2-F,Seed: 222025; ans1: 16 [score]; ans2: 4 [score]; ans3: 3 [score]; ans4: 65 [score]; ans5: 1 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_40869660,Brown,Micheal,m.brown@student.example.com,Finished,5 July 2025  2:24 PM,5 July 2025  2:40 PM,15 mins 31 secs,100.0,"Variable 1: \({16,779}\)     Variable 2: \({2,796}\)    Questions: \({10}\) and \({6}\)   ",Seed: 472317; ans1: 13423 [score]; ans2: 4 [score]; ans3: 2 [score]; ans4: 15101 [score]; ans5: 2 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 472317; ans1: 13423 [score]; ans2: 4 [score]; ans3: 2 [score]; ans4: 15101 [score]; ans5: 2 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_44054384,Garcia,Joyce,j.garcia@student.example.com,Finished,5 July 2025  2:42 PM,9 July 2025  4:25 PM,4 days 1 hour,66.67,"Variable 1: \({11,280}\)     Variable 2: \({1,635}\)    Questions: \({1}\) and \({4}\)   ",Seed: 174055; ans1: 6 [score]; ans2: 1 [score]; ans3: 8 [score]; ans4: 226 [score]; ans5: 1 [score]; ans6: 8 [score]; prt1: # = 0 | prt1-1-F | prt1-2-F; prt2: # = 1 | prt2-1-T; prt3: # = 0 | prt3-1-F | prt3-2-F; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 174055; ans1: 3270 [score]; ans2: 1 [score]; ans3: 3 [score]; ans4: 226 [score]; ans5: 1 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_33071753,Thomas,David,d.thomas@student.example.com,Finished,5 July 2025  3:14 PM,5 July 2025  3:17 PM,2 mins 32 secs,83.33,"Variable 1: \({5,281}\)     Variable 2: \({614}\)    Questions: \({11}\) and \({5}\)   ",Seed: 691291; ans1: 6 [score]; ans2: 4 [score]; ans3: 2 [score]; ans4: 265 [score]; ans5: 1 [score]; ans6: 26 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 0 | prt3-1-F | prt3-2-F; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 691291; ans1: 5 [score]; ans2: 4 [score]; ans3: 3 [score]; ans4: 264 [score]; ans5: 1 [score]; ans6: 26 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_56966959,Sanders,John,j.sanders@student.example.com,Finished,5 July 2025  3:28 PM,5 July 2025  3:39 PM,11 mins 19 secs,33.33,"Variable 1: \({14,976}\)     Variable 2: \({2,269}\)    Questions: \({9}\) and \({3}\)   ",Seed: 754008; ans1: 14976 [score]; ans2: 2 [score]; ans3: 14 [score]; ans4: 42 [score]; ans5: 1 [score]; ans6: 15 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 0 | prt2-1-F; prt3: # = 0 | prt3-1-F | prt3-2-F; prt4: # = 0 | prt4-1-F | prt4-2-F; prt5: # = 1 | prt5-1-T; prt6: # = 0 | prt6-1-F | prt6-2-F,Seed: 754008; ans1: 14976 [score]; ans2: 3 [score]; ans3: 28 [score]; ans4: 60 [score]; ans5: 1 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_88120923,Wright,Laura,l.wright@student.example.com,Finished,5 July 2025  3:37 PM,5 July 2025  6:20 PM,2 hours 43 mins,100.0,"Variable 1: \({19,037}\)     Variable 2: \({2,841}\)    Questions: \({7}\) and \({8}\)   ",Seed: 641147; ans1: 994 [score]; ans2: 2 [score]; ans3: 31 [score]; ans4: 23 [score]; ans5: 3 [score]; ans6: 24 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 641147; ans1: 994 [score]; ans2: 2 [score]; ans3: 31 [score]; ans4: 23 [score]; ans5: 3 [score]; ans6: 24 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_50984896,Reyes,Kimberly,k.reyes@student.example.com,Finished,5 July 2025  6:26 PM,5 July 2025  6:30 PM,3 mins 19 secs,66.67,"Variable 1: \({13,205}\)     Variable 2: \({2,871}\)    Questions: \({5}\) and \({4}\)   ",Seed: 437745; ans1: 661 [score]; ans2: 1 [score]; ans3: 9 [score]; ans4: 265 [score]; ans5: 1 [score]; ans6: 11 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 0 | prt3-1-F | prt3-2-F; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 0 | prt6-1-F | prt6-2-F,Seed: 437745; ans1: 660 [score]; ans2: 1 [score]; ans3: 26 [score]; ans4: 264 [score]; ans5: 1 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_19951742,Khan,Jessica,j.khan@student.example.com,Finished,5 July 2025  8:36 PM,9 July 2025  5:00 PM,3 days 20 hours,83.33,"Variable 1: \({6,570}\)     Variable 2: \({773}\)    Questions: \({2}\) and \({9}\)   ",Seed: 387782; ans1: 78840 [score]; ans2: 1 [score]; ans3: 3 [score]; ans4: 19710 [score]; ans5: 3 [score]; ans6: 28 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 0 | prt4-1-F | prt4-2-F; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 387782; ans1: 78840 [score]; ans2: 1 [score]; ans3: 3 [score]; ans4: 6570 [score]; ans5: 3 [score]; ans6: 28 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_91720477,Johnson,Stacey,s.johnson@student.example.com,Finished,6 July 2025  9:17 AM,6 July 2025  9:45 AM,27 mins 55 secs,100.0,"Variable 1: \({12,686}\)     Variable 2: \({1,586}\)    Questions: \({3}\) and \({11}\)   ",Seed: 406015; ans1: 51 [score]; ans2: 1 [score]; ans3: 8 [score]; ans4: 13 [score]; ans5: 4 [score]; ans6: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 406015; ans1: 51 [score]; ans2: 1 [score]; ans3: 8 [score]; ans4: 13 [score]; ans5: 4 [score]; ans6: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_61318179,Davis,Julia,j.davis@student.example.com,Finished,6 July 2025  9:43 AM,6 July 2025  9:58 AM,15 mins 34 secs,50.0,"Variable 1: \({7,739}\)     Variable 2: \({1,888}\)    Questions: \({9}\) and \({3}\)   ",Seed: 85384; ans1: 7739 [score]; ans2: 2 [score]; ans3: 39 [score]; ans4: 31 [score]; ans5: 1 [score]; ans6: 16 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 0 | prt2-1-F; prt3: # = 0 | prt3-1-F | prt3-2-F; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 0 | prt6-1-F | prt6-2-F,Seed: 85384; ans1: 7739 [score]; ans2: 3 [score]; ans3: 28 [score]; ans4: 31 [score]; ans5: 1 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_20938170,Morris,Alexander,a.morris@student.example.com,Finished,6 July 2025  12:31 PM,9 July 2025  5:00 PM,3 days 4 hours,66.67,"Variable 1: \({19,064}\)     Variable 2: \({3,738}\)    Questions: \({1}\) and \({3}\)   ",Seed: 1762; ans1: 5 [score]; ans2: 1 [score]; ans3: 8 [score]; ans4: 77 [score]; ans5: 1 [score]; ans6: 8 [score]; prt1: # = 0 | prt1-1-F | prt1-2-F; prt2: # = 1 | prt2-1-T; prt3: # = 0 | prt3-1-F | prt3-2-F; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 1762; ans1: 7476 [score]; ans2: 1 [score]; ans3: 3 [score]; ans4: 76 [score]; ans5: 1 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_96412727,Palmer,Valerie,v.palmer@student.example.com,Finished,6 July 2025  12:34 PM,6 July 2025  5:34 PM,5 hours,100.0,"Variable 1: \({15,520}\)     Variable 2: \({1,584}\)    Questions: \({5}\) and \({8}\)   ",Seed: 903; ans1: 776 [score]; ans2: 1 [score]; ans3: 26 [score]; ans4:  34 [score]; ans5: 3 [score]; ans6: 24 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 903; ans1: 776 [score]; ans2: 1 [score]; ans3: 26 [score]; ans4: 34 [score]; ans5: 3 [score]; ans6: 24 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_12774032,Nicholson,Michael,m.nicholson@student.example.com,Finished,6 July 2025  2:41 PM,6 July 2025  3:51 PM,1 hour 9 mins,100.0,"Variable 1: \({17,203}\)     Variable 2: \({3,584}\)    Questions: \({8}\) and \({3}\)   ",Seed: 391746; ans1: 17 [score]; ans2: 3 [score]; ans3: 24 [score]; ans4: 69 [score]; ans5: 1 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 391746; ans1: 17 [score]; ans2: 3 [score]; ans3: 24 [score]; ans4: 69 [score]; ans5: 1 [score]; ans6: 8 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_67127448,Thompson,Anne,a.thompson@student.example.com,Finished,6 July 2025  3:26 PM,6 July 2025  3:52 PM,25 mins 44 secs,100.0,"Variable 1: \({13,308}\)     Variable 2: \({3,169}\)    Questions: \({8}\) and \({9}\)   ",Seed: 853462; ans1: 15 [score]; ans2: 3 [score]; ans3: 24 [score]; ans4: 13308 [score]; ans5: 3 [score]; ans6: 28 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T,Seed: 853462; ans1: 15 [score]; ans2: 3 [score]; ans3: 24 [score]; ans4: 13308 [score]; ans5: 3 [score]; ans6: 28 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_65441675,Williams,John,j.williams@student.example.com,Finished,6 July 2025  4:05 PM,6 July 2025  4:28 PM,22 mins 57 secs,66.67,"Variable 1: \({9,052}\)     Variable 2: \({1,437}\)    Questions: \({7}\) and \({9}\)   ",Seed: 220351; ans1: 1150 [score]; ans2: 2 [score]; ans3: 36 [score]; ans4: 9052 [score]; ans5: 3 [score]; ans6: 2 [score]; prt1: # = 0 | prt1-1-F | prt1-2-F; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-F | prt3-2-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 0 | prt6-1-F | prt6-2-F,Seed: 220351; ans1: 503 [score]; ans2: 2 [score]; ans3: 31 [score]; ans4: 9052 [score]; ans5: 3 [score]; ans6: 28 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
id_21504638,Stephens,Robert,r.stephens@student.example.com,Finished,6 July 2025  4:10 PM,6 July 2025  4:15 PM,4 mins 23 secs,50.0,"Variable 1: \({13,905}\)     Variable 2: \({1,879}\)    Questions: \({6}\) and \({11}\)   ",Seed: 748163; ans1: 20000 [score]; ans2: 2 [score]; ans3: 23 [score]; ans4: 14 [score]; ans5: 4 [score]; ans6: 18 [score]; prt1: # = 0 | prt1-1-F | prt1-2-F; prt2: # = 1 | prt2-1-T; prt3: # = 0 | prt3-1-F | prt3-2-F; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 0 | prt6-1-F | prt6-2-F,Seed: 748163; ans1: 12514 [score]; ans2: 2 [score]; ans3: 8 [score]; ans4: 14 [score]; ans5: 4 [score]; ans6: 3 [score]; prt1: # = 1 | prt1-1-T; prt2: # = 1 | prt2-1-T; prt3: # = 1 | prt3-1-T; prt4: # = 1 | prt4-1-T; prt5: # = 1 | prt5-1-T; prt6: # = 1 | prt6-1-T
